시점,인구밀도,지역별
2021.09,811.17,세종
2021.10,814.10,세종
2021.11,817.03,세종
2021.12,819.97,세종
2022.01,822.9,세종
2022.02,823.55,세종
2022.03,824.2,세종
2022.04,824.85,세종
2022.05,825.5,세종
2022.06,826.15,세종
2022.07,826.8,세종
2022.08,827.45,세종
2022.09,828.10,세종
2022.10,828.75,세종
2022.11,829.4,세종
2022.12,830.05,세종
2023.01,830.7,세종
2015.01,1099.6,울산
2015.02,1099.57,울산
2015.03,1099.53,울산
2015.04,1099.5,울산
2015.05,1099.47,울산
2015.06,1099.43,울산
2015.07,1099.4,울산
2015.08,1099.37,울산
2015.09,1099.33,울산
2015.10,1099.3,울산
2015.11,1099.27,울산
2015.12,1099.23,울산
2016.01,1099.2,울산
2016.02,1098.47,울산
2016.03,1097.73,울산
2016.04,1097.0,울산
2016.05,1096.27,울산
2016.06,1095.53,울산
2016.07,1094.8,울산
2016.08,1094.07,울산
2016.09,1093.33,울산
2016.10,1092.6,울산
2016.11,1091.87,울산
2016.12,1091.13,울산
2017.01,1090.4,울산
2017.02,1089.82,울산
2017.03,1089.23,울산
2017.04,1088.65,울산
2017.05,1088.07,울산
2017.06,1087.48,울산
2017.07,1086.9,울산
2017.08,1086.32,울산
2017.09,1085.73,울산
2017.10,1085.15,울산
2017.11,1084.57,울산
2017.12,1083.98,울산
2018.01,1083.4,울산
2018.02,1082.86,울산
2018.03,1082.32,울산
2018.04,1081.78,울산
2018.05,1081.23,울산
2018.06,1080.69,울산
2018.07,1080.15,울산
2018.08,1079.61,울산
2018.09,1079.07,울산
2018.10,1078.53,울산
2018.11,1077.98,울산
2018.12,1077.44,울산
2019.01,1076.9,울산
2019.02,1076.24,울산
2019.03,1075.58,울산
2019.04,1074.93,울산
2019.05,1074.27,울산
2019.06,1073.61,울산
2019.07,1072.95,울산
2019.08,1072.29,울산
2019.09,1071.63,울산
2019.10,1070.97,울산
2019.11,1070.32,울산
2019.12,1069.66,울산
2020.01,1069.0,울산
2020.02,1067.83,울산
2020.03,1066.67,울산
2020.04,1065.5,울산
2020.05,1064.33,울산
2020.06,1063.17,울산
2020.07,1062.0,울산
2020.08,1060.83,울산
2020.09,1059.67,울산
2020.10,1058.5,울산
2020.11,1057.33,울산
2020.12,1056.17,울산
2021.01,1055.0,울산
2021.02,1054.16,울산
2021.03,1053.32,울산
2021.04,1052.47,울산
2021.05,1051.63,울산
2021.06,1050.79,울산
2021.07,1049.95,울산
2021.08,1049.11,울산
2021.09,1048.27,울산
2021.10,1047.43,울산
2021.11,1046.58,울산
2021.12,1045.74,울산
2022.01,1044.9,울산
2022.02,1044.66,울산
